1,BoSa@gmail.com,tip1,12-02-2022 12:30,Kozmeticar2,zakazan
2,StefZiv@gmail.com,tip2,12-02-2022 12:30,Kozmeticar1,zakazan
3,StefZiv@gmail.com,tip2,12-02-2022 12:30,Milka,zakazan
4,Fime@gmail.com.com,tip2,15-03-2022 13:00,Milka,zakazan
5,Fime@gmail.com,tip3,08-08-2022 10:30,Kozmeticar2,zakazan
6,BoSa@gmail,tip1,16-05-2022 14:00,Kozmeticar2,zakazan
7,StefZiv@gmail.com,tip3,18-05-2022 12:30,Kozmeticar1,zakazan
8,StefZiv@gmail.com,tip2,20-06-2022 11:00,Milka,zakazan
9,Fime@gmail.com.com,tip3,22-06-2022 14:30,Sonja,zakazan
10,Fime@gmail.com,tip1,28-06-2022 16:30,Kozmeticar2,zakazan
11,BoSa@gmail.com,tip3,06-07-2022 10:00,Sonja,zakazan
12,BoSa@gmail,tip3,12-07-2022 12:00,Kozmeticar2,zakazan
13,StefZiv@gmail.com,tip3,18-07-2022 13:30,Kozmeticar1,zakazan
14,StefZiv@gmail.com,tip2,24-07-2022 15:00,Milka,zakazan
15,Fime@gmail.com.com,tip3,28-07-2022 10:30,Milka,zakazan
